lprobust;lprobust_
2;0
3;-1
3;-3
4;0
4;-3
6;-3
7;-3
7;-1
8;-3
8;-3
9;-1
9;-3
10;-3
10;-3
10;-5
11;-3
11;-5
11;0
13;-3
14;-3
14;0
15;-13
15;-5
15;-5
15;-9
15;-16
15;-23
15;-3
15;-23
15;-32
15;-54
15;-55
16;-40
16;-22
16;-22
16;-51
16;-43
16;-27
16;-22
16;-51
16;-62
16;-5
16;-80
17;-59
17;-71
17;-91
17;-78
18;-38
18;-86
18;-123
18;-102
18;-99
18;-104
19;-113
19;-51
19;-123
19;-86
19;-72
20;-127
20;-123
20;-118
21;-134
21;-102
22;-108
22;-123
23;-123
23;-129
24;-113
24;-95
24;-82
25;-54
25;-64
25;-58
25;-72
25;-44
26;-27
26;-5
26;-107
26;-22
26;-66
27;-16
27;-46
27;-24
27;10
28;4
28;12
28;-22
28;38
29;47
29;-17
30;36
31;75
31;8
32;55
32;48
33;47
33;16
34;46
34;1
35;75
35;-16
35;-55
35;70
36;35
36;32
36;-38
36;23
38;47
38;11
39;5
39;-1
40;-22
40;-13
42;31
42;-11
42;29
43;0
43;-11
43;15
44;-1
44;0
45;11
47;11
48;-27
48;-15
49;-13
51;0
52;11
53;-15
55;-3
55;11
55;-3
58;11
